날짜,요일,역번호,역명,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,24~
2020-01-01,2,410,상계,하차,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
2020-01-01,2,411,노원,승차,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,411,노원,하차,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
2020-01-01,2,412,창동,승차,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2020-01-01,2,412,창동,하차,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
2020-01-01,2,413,쌍문,승차,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,413,쌍문,하차,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
2020-01-01,2,414,수유(강북구청),승차,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,414,수유(강북구청),하차,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2020-01-01,2,415,미아(서울사이버대학),승차,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,415,미아(서울사이버대학),하차,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,416,미아사거리,승차,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,416,미아사거리,하차,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,417,길음,승차,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,417,길음,하차,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,418,성신여대입구(돈암),승차,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,418,성신여대입구(돈암),하차,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,419,한성대입구(삼선교),승차,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,419,한성대입구(삼선교),하차,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
2020-01-01,2,420,혜화,승차,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,420,혜화,하차,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
2020-01-01,2,421,동대문,승차,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2020-01-01,2,421,동대문,하차,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2020-01-01,2,422,동대문역사문화공원(DDP),승차,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,422,동대문역사문화공원(DDP),하차,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2020-01-01,2,423,충무로,승차,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020-01-01,2,423,충무로,하차,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
2020-01-01,2,424,명동,승차,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2020-01-01,2,424,명동,하차,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
2020-01-01,2,425,회현(남대문시장),승차,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,425,회현(남대문시장),하차,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020-01-01,2,426,서울역,승차,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,426,서울역,하차,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
2020-01-01,2,427,숙대입구(갈월),승차,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2020-01-01,2,427,숙대입구(갈월),하차,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
